model,mode,train_mae,val_mae,test_mae,normalized_train_mae,normalized_val_mae,normalized_test_mae,train_mae_std,val_mae_std,test_mae_std,normalized_train_mae_std,normalized_val_mae_std,normalized_test_mae_std,avg_train_time_s,std_train_time_s,top_10_test_mae,top_100_test_mae,bottom_100_test_mae
GCN+con,inductive,2174,2817,4633,0.1149,0.2173,0.2728,382,145,487,0.0036,0.0079,0.0122,3.45,0.75,216596,34090,467
GCN+dis,inductive,2543,2419,2812,0.2043,0.2481,0.2676,0,8,8,0,0.0005,0.0005,2.72,0.08,139295,23144,419
GCN+cor,inductive,2186,51248,97861,0.1106,4.6737,8.8239,6,1762,3391,0.0007,0.1585,0.3063,3.09,0.21,3100457,705315,6062
GCN+d_con,inductive,2067,2614,4523,0.1157,0.2205,0.2671,360,65,476,0.0033,0.0045,0.0118,2.68,0.04,201798,32754,512
GCN+d_cor,inductive,2054,41992,81096,0.1047,3.677,6.9958,10,620,1998,0.0008,0.0563,0.1792,2.8,0.09,2712094,612489,4723
GCN+c_c,inductive,1298,2408,3440,0.0781,0.2278,0.2592,98,110,233,0.0016,0.0059,0.0126,2.77,0.08,157426,28521,399
GCN+d_c_c,inductive,1192,2501,3367,0.076,0.2281,0.2654,14,104,133,0.0005,0.0047,0.0088,2.8,0.09,153792,27698,432
GAT+con,inductive,2517,3403,3706,0.2059,0.3001,0.3045,48,208,191,0.0085,0.0162,0.016,18.12,0.54,164987,30071,258
GAT+dis,inductive,2563,2425,2820,0.2147,0.2557,0.2815,8,260,112,0.001,0.0157,0.0034,18.43,0.08,140342,24207,454
GAT+cor,inductive,2832,3665,3528,0.2456,0.3127,0.2985,217,580,623,0.0306,0.0446,0.0498,18.2,0.17,158549,32592,344
GAT+d_con,inductive,2509,3251,3620,0.2013,0.2917,0.2977,20,170,147,0.007,0.0131,0.0115,17.8,0.08,162858,29101,260
GAT+d_cor,inductive,2969,3981,3745,0.2638,0.3434,0.3247,269,756,746,0.0372,0.0593,0.0554,18.31,0.16,158160,32548,350
GAT+c_c,inductive,2668,3524,3867,0.2184,0.3177,0.3176,54,238,217,0.0125,0.0193,0.0189,18.07,0.08,166182,31321,264
GAT+d_c_c,inductive,2725,3702,3988,0.2286,0.33,0.3274,93,341,290,0.0192,0.0289,0.0265,18.11,0.08,169256,32538,266
DiagSheaf,inductive,2879,1722,3804,0,0.167250107,0.224310681,116,4,45,0.000531394,0.000904596,0.001272906,27.11222106,1.078656974,230792,34119,407
BundleSheaf,inductive,2750,1757,3656,0,0.167222659,0.220547279,271,67,164,0.000540729,0.000910204,0.003301631,72.44946714,5.457649715,215475,32384,408
GenSheaf,inductive,2636,1787,3661,0,0.170956438,0.223424782,222,53,125,0.000551034,0.00090715,0.001359321,90.31790701,10.32315648,213276,32178,405
