station_en,odpt:surveyYear,P_count,line,station_jp,next_station_en,next_station_jp,sta_long,sta_lat,next_sta_long,next_sta_lat,distance,degree,next_degree,sta_code,next_sta_code
Shibuya,2018,3813638,TokyoMetro.Ginza,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2018,3813638,Tokyu.DenEnToshi,渋谷,Ikejiriohashi,池尻大橋,139.701017,35.659299,139.683642,35.650526,1.8488303877101675,8,2,15,644
Shibuya,2018,3813638,Tokyu.Toyoko,渋谷,Daikan-yama,代官山,139.701017,35.659299,139.703084,35.648043,1.2658640606688845,8,2,15,1172
Shibuya,2018,3813638,TokyoMetro.Hanzomon,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2018,3813638,Keio.Inokashira,渋谷,Shinsen,神泉,139.701017,35.659299,139.69313,35.65717,0.7510969855036685,8,2,15,728
Shibuya,2018,3813638,JR-East.SaikyoKawagoe,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2018,3813638,JR-East.ShonanShinjuku,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2018,3813638,JR-East.Yamanote,渋谷,Harajuku,原宿,139.701017,35.659299,139.702592,35.670646,1.270124731639909,8,2,15,917
Shibuya,2019,3794673,TokyoMetro.Ginza,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2019,3794673,Tokyu.DenEnToshi,渋谷,Ikejiriohashi,池尻大橋,139.701017,35.659299,139.683642,35.650526,1.8488303877101675,8,2,15,644
Shibuya,2019,3794673,Tokyu.Toyoko,渋谷,Daikan-yama,代官山,139.701017,35.659299,139.703084,35.648043,1.2658640606688845,8,2,15,1172
Shibuya,2019,3794673,TokyoMetro.Hanzomon,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2019,3794673,Keio.Inokashira,渋谷,Shinsen,神泉,139.701017,35.659299,139.69313,35.65717,0.7510969855036685,8,2,15,728
Shibuya,2019,3794673,JR-East.SaikyoKawagoe,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2019,3794673,JR-East.ShonanShinjuku,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2019,3794673,JR-East.Yamanote,渋谷,Harajuku,原宿,139.701017,35.659299,139.702592,35.670646,1.270124731639909,8,2,15,917
Shibuya,2017,3779661,TokyoMetro.Ginza,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2017,3779661,Tokyu.DenEnToshi,渋谷,Ikejiriohashi,池尻大橋,139.701017,35.659299,139.683642,35.650526,1.8488303877101675,8,2,15,644
Shibuya,2017,3779661,Tokyu.Toyoko,渋谷,Daikan-yama,代官山,139.701017,35.659299,139.703084,35.648043,1.2658640606688845,8,2,15,1172
Shibuya,2017,3779661,TokyoMetro.Hanzomon,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2017,3779661,Keio.Inokashira,渋谷,Shinsen,神泉,139.701017,35.659299,139.69313,35.65717,0.7510969855036685,8,2,15,728
Shibuya,2017,3779661,JR-East.SaikyoKawagoe,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2017,3779661,JR-East.ShonanShinjuku,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2017,3779661,JR-East.Yamanote,渋谷,Harajuku,原宿,139.701017,35.659299,139.702592,35.670646,1.270124731639909,8,2,15,917
Shibuya,2016,3718390,TokyoMetro.Ginza,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2016,3718390,Tokyu.DenEnToshi,渋谷,Ikejiriohashi,池尻大橋,139.701017,35.659299,139.683642,35.650526,1.8488303877101675,8,2,15,644
Shibuya,2016,3718390,Tokyu.Toyoko,渋谷,Daikan-yama,代官山,139.701017,35.659299,139.703084,35.648043,1.2658640606688845,8,2,15,1172
Shibuya,2016,3718390,TokyoMetro.Hanzomon,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2016,3718390,Keio.Inokashira,渋谷,Shinsen,神泉,139.701017,35.659299,139.69313,35.65717,0.7510969855036685,8,2,15,728
Shibuya,2016,3718390,JR-East.SaikyoKawagoe,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2016,3718390,JR-East.ShonanShinjuku,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2016,3718390,JR-East.Yamanote,渋谷,Harajuku,原宿,139.701017,35.659299,139.702592,35.670646,1.270124731639909,8,2,15,917
Shibuya,2015,3297279,TokyoMetro.Ginza,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2015,3297279,Tokyu.DenEnToshi,渋谷,Ikejiriohashi,池尻大橋,139.701017,35.659299,139.683642,35.650526,1.8488303877101675,8,2,15,644
Shibuya,2015,3297279,Tokyu.Toyoko,渋谷,Daikan-yama,代官山,139.701017,35.659299,139.703084,35.648043,1.2658640606688845,8,2,15,1172
Shibuya,2015,3297279,TokyoMetro.Hanzomon,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2015,3297279,Keio.Inokashira,渋谷,Shinsen,神泉,139.701017,35.659299,139.69313,35.65717,0.7510969855036685,8,2,15,728
Shibuya,2015,3297279,JR-East.SaikyoKawagoe,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2015,3297279,JR-East.ShonanShinjuku,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2015,3297279,JR-East.Yamanote,渋谷,Harajuku,原宿,139.701017,35.659299,139.702592,35.670646,1.270124731639909,8,2,15,917
Shibuya,2014,3200008,TokyoMetro.Ginza,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2014,3200008,Tokyu.DenEnToshi,渋谷,Ikejiriohashi,池尻大橋,139.701017,35.659299,139.683642,35.650526,1.8488303877101675,8,2,15,644
Shibuya,2014,3200008,Tokyu.Toyoko,渋谷,Daikan-yama,代官山,139.701017,35.659299,139.703084,35.648043,1.2658640606688845,8,2,15,1172
Shibuya,2014,3200008,TokyoMetro.Hanzomon,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2014,3200008,Keio.Inokashira,渋谷,Shinsen,神泉,139.701017,35.659299,139.69313,35.65717,0.7510969855036685,8,2,15,728
Shibuya,2014,3200008,JR-East.SaikyoKawagoe,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2014,3200008,JR-East.ShonanShinjuku,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2014,3200008,JR-East.Yamanote,渋谷,Harajuku,原宿,139.701017,35.659299,139.702592,35.670646,1.270124731639909,8,2,15,917
Shibuya,2013,3159954,TokyoMetro.Ginza,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2013,3159954,Tokyu.DenEnToshi,渋谷,Ikejiriohashi,池尻大橋,139.701017,35.659299,139.683642,35.650526,1.8488303877101675,8,2,15,644
Shibuya,2013,3159954,Tokyu.Toyoko,渋谷,Daikan-yama,代官山,139.701017,35.659299,139.703084,35.648043,1.2658640606688845,8,2,15,1172
Shibuya,2013,3159954,TokyoMetro.Hanzomon,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2013,3159954,Keio.Inokashira,渋谷,Shinsen,神泉,139.701017,35.659299,139.69313,35.65717,0.7510969855036685,8,2,15,728
Shibuya,2013,3159954,JR-East.SaikyoKawagoe,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2013,3159954,JR-East.ShonanShinjuku,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2013,3159954,JR-East.Yamanote,渋谷,Harajuku,原宿,139.701017,35.659299,139.702592,35.670646,1.270124731639909,8,2,15,917
Shibuya,2020,2374282,TokyoMetro.Ginza,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2020,2374282,Tokyu.DenEnToshi,渋谷,Ikejiriohashi,池尻大橋,139.701017,35.659299,139.683642,35.650526,1.8488303877101675,8,2,15,644
Shibuya,2020,2374282,Tokyu.Toyoko,渋谷,Daikan-yama,代官山,139.701017,35.659299,139.703084,35.648043,1.2658640606688845,8,2,15,1172
Shibuya,2020,2374282,TokyoMetro.Hanzomon,渋谷,Omote-sando,表参道,139.701017,35.659299,139.711346,35.665652,1.1707463947295509,8,5,15,383
Shibuya,2020,2374282,Keio.Inokashira,渋谷,Shinsen,神泉,139.701017,35.659299,139.69313,35.65717,0.7510969855036685,8,2,15,728
Shibuya,2020,2374282,JR-East.SaikyoKawagoe,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2020,2374282,JR-East.ShonanShinjuku,渋谷,Shinjuku,新宿,139.701017,35.659299,139.699019,35.688462,3.248815582507832,8,12,15,617
Shibuya,2020,2374282,JR-East.Yamanote,渋谷,Harajuku,原宿,139.701017,35.659299,139.702592,35.670646,1.270124731639909,8,2,15,917
Shinjuku,2018,2284184,Toei.Oedo,新宿,Tochomae,都庁前,139.699019,35.688462,139.692677,35.690607,0.620627534031668,12,3,617,1015
Shinjuku,2018,2284184,Toei.Shinjuku,新宿,Shinjuku-sanchome,新宿三丁目,139.699019,35.688462,139.706794,35.691016,0.7576632449551471,12,5,617,1297
Shinjuku,2018,2284184,TokyoMetro.Marunouchi,新宿,Shinjuku-sanchome,新宿三丁目,139.699019,35.688462,139.706794,35.691016,0.7576632449551471,12,5,617,1297
Shinjuku,2018,2284184,Keio.KeioNew,新宿,Hatsudai,初台,139.699019,35.688462,139.68671,35.68051,1.4209232273316008,12,2,617,209
Shinjuku,2018,2284184,Keio.Keio,新宿,Sasazuka,笹塚,139.699019,35.688462,139.66718,35.67366,3.314473068553818,12,3,617,916
Shinjuku,2018,2284184,JR-East.ChuoRapid,新宿,Nakano,中野,139.699019,35.688462,139.665835,35.705765,3.562222469318374,12,4,617,686
Shinjuku,2018,2284184,JR-East.ChuoSobuLocal,新宿,Okubo,大久保,139.699019,35.688462,139.69732,35.700784,1.379140471050344,12,2,617,149
Shinjuku,2018,2284184,JR-East.SaikyoKawagoe,新宿,Ikebukuro,池袋,139.699019,35.688462,139.71171,35.72888,4.639508718908279,12,11,617,1122
