S12_001,2013,2014,2015,2016,2017,2018,2019,station_id
あおば通,38882,40922,40820,42664,44052,45302,45302,266.0
あきた白神,54,52,58,54,52,76,76,1551.0
あざみ野,214782,212344,214866,215440,216601,217261,216163,339.0
あしかがフラワーパーク,0,0,0,0,0,0,0,645.0
あつみ温泉,264,266,242,228,238,202,202,1720.0
あまや,2,2,6,8,10,10,12,1694.0
いずみ中央,15993,15612,15772,15850,16016,16195,16257,2133.0
いずみ野,14181,13939,14033,13971,13969,13962,13752,1948.0
いわき,11992,12272,11820,12284,12184,11744,11744,1037.0
うらがわら,176,176,178,181,188,178,168,272.0
おもちゃのまち,2606,2532,2504,2486,2506,2614,2621,707.0
おゆみ野,4440,4505,4664,4870,5031,5105,5221,215.0
お台場海浜公園,16357,16515,17537,17488,16944,17165,16899,43.0
お花茶屋,31250,31141,31679,32497,33442,33781,34319,11.0
かしわ台,19066,18701,19147,18973,18990,18811,18665,1435.0
かみのやま温泉,3346,3432,3154,3184,3074,3042,3042,792.0
くぬぎ山,7174,7154,7105,7110,7331,7324,7297,656.0
くびき,142,150,121,115,138,137,157,398.0
こどもの国,12221,11898,11808,11779,11841,11750,11611,2002.0
さいたま新都心,82310,84270,87334,96742,100138,111102,111102,1299.0
さがみ野,37689,37221,37876,37704,37893,37847,37399,2340.0
さくらんぼ東根,2364,2414,1956,2078,2564,2726,2726,459.0
しんざ,101,105,109,122,137,170,163,1267.0
すずかけ台,11825,11433,11437,11437,11630,11687,11623,340.0
すずらんの里,0,0,0,0,0,0,0,196.0
せんげん台,61520,60103,60147,59754,59513,58651,57414,706.0
たまプラーザ,78546,78772,81065,81065,83397,83922,83136,613.0
ちはら台,5133,5213,5429,5716,5825,5824,5948,314.0
つきのわ,4316,4441,4727,5004,4980,5162,5352,1141.0
つきみ野,10495,10354,10663,10663,10804,10648,10537,2447.0
つくし野,12384,12058,12136,12136,11954,11799,11544,939.0
つくば,34800,34300,35700,36900,35800,36400,36100,1864.0
つつじヶ丘,45125,44530,45540,45419,45393,45778,45169,463.0
とうきょうスカイツリー,0,0,0,0,0,0,0,2188.0
ときわ台,49379,49140,50394,50096,50891,50907,50099,427.0
のの岳,0,0,0,0,0,0,0,48.0
はるひ野,8855,9031,9325,9628,9865,10068,10048,576.0
ひたち野うしく,12224,12878,12632,13314,13574,13946,13946,2017.0
ひばりヶ丘,68930,67907,69024,70247,72652,73607,74392,1357.0
ひろせ野鳥の森,1149,1197,1180,1167,1201,1218,1163,698.0
ふかや花園,0,0,0,0,0,0,161,1172.0
ふじみ野,65225,64904,65874,66149,67250,67543,66843,1511.0
ふるさと公園,31,25,30,25,29,38,35,6.0
ほくほく大島,112,106,102,94,104,79,72,1376.0
ほっとゆだ,346,304,258,218,210,240,240,1703.0
まつだい,585,589,499,508,473,453,430,1461.0
みずほ台,41229,41056,41018,40961,41134,41399,41146,2367.0
みどりの,6400,6700,7400,7900,8400,9000,9400,149.0
みどり台,6896,6911,7069,7227,7524,7767,7837,1509.0
みどり湖,0,0,0,0,0,0,0,1874.0
