id,model,mode,train_mae,val_mae,test_mae,normalized_train_mae,normalized_val_mae,normalized_test_mae,train_mae_std,val_mae_std,test_mae_std,normalized_train_mae_std,normalized_val_mae_std,normalized_test_mae_std,avg_train_time_s,std_train_time_s
1,GCN+con,transductive,2287.8343,4121.7674,3891.2999,0.0965,0.2526,0.2623,322.0353,2682.7631,1048.2458,0.0068,0.0116,0.0208,3.26,0.3
2,GCN+dis,transductive,2854.2505,2658.3102,2088.8157,0.2483,0.2699,0.2688,847.1279,1811.8533,733.8003,0.0067,0.0213,0.0043,2.66,0.09
3,GCN+cor,transductive,1848.0666,1585.9777,1496.5439,0.0651,0.0759,0.0699,611.288,1356.3442,521.307,0.0012,0.001,0.0043,2.86,0.14
4,GCN+d_con,transductive,2224.8616,4183.693,3711.2377,0.098,0.2544,0.2672,258.7788,2870.8536,936.7391,0.0055,0.0092,0.024,2.6,0.19
5,GCN+d_cor,transductive,1869.7958,1605.642,1561.1178,0.0655,0.0797,0.0711,609.749,1382.2054,539.0613,0.001,0.0024,0.0036,2.6,0.09
6,GCN+c_c,transductive,2089.3073,3694.5043,3547.2745,0.0509,0.1925,0.1856,600.1374,2211.481,1043.6579,0.0053,0.0095,0.0077,2.47,0.03
7,GCN+d_c_c,transductive,2178.6087,3391.7278,3442.0243,0.0529,0.1913,0.1832,585.5691,2124.9094,950.1953,0.0061,0.0118,0.0088,2.46,0.01
8,GAT+con,transductive,3310.865,3051.41,2724.7885,0.2364,0.2612,0.2636,558.3437,2219.7266,649.4754,0.0262,0.0299,0.023,17.91,0.18
9,GAT+dis,transductive,3174.3193,2915.9273,2400.8807,0.2908,0.3179,0.3136,1054.6757,1594.0736,576.2299,0.022,0.0533,0.0424,18.06,0.07
10,GAT+cor,transductive,4679.6698,4403.9304,3871.1142,0.373,0.3577,0.3631,1026.6793,2609.6272,1058.6827,0.1087,0.1023,0.1031,18.28,0.04
11,GAT+d_con,transductive,3262.2563,2972.6333,2647.3107,0.2331,0.257,0.2596,737.3174,2060.4091,556.6492,0.0098,0.0161,0.0134,18.09,0.26
12,GAT+d_cor,transductive,4403.9223,4317.4649,4029.156,0.3716,0.3726,0.3763,336.1408,2786.6523,1478.7343,0.0938,0.0823,0.0839,18.34,0.12
13,GAT+c_c,transductive,3479.3457,3184.6676,2805.4855,0.2508,0.2752,0.275,801.5411,2062.5539,588.1297,0.0061,0.0094,0.0103,17.97,0.18
14,GAT+d_c_c,transductive,3507.5272,3248.5322,2853.3306,0.2551,0.2762,0.2764,731.3749,2134.4345,694.7879,0.0165,0.0144,0.0054,18.14,0.13
15,DiagSheaf,transductive,3087.459676,2927.187439,2415.76123,0,0.132810578,0.1366886,1101.982514,2721.958532,750.966722,0.000522036,0.000700034,0.006397396,33.26396685,4.401868517
16,BundleSheaf,transductive,3020.629842,2960.172668,2391.655233,0,0.142312621,0.140351422,871.6482086,2779.519906,935.7928735,0.000571941,0.000772062,0.011562331,60.87762579,10.77869148
17,GenSheaf,transductive,3214.144246,2903.884033,2729.880412,0,0.144514918,0.143670112,1053.309317,2675.969767,914.329833,0.000570879,0.000767297,0.009978277,71.50678193,19.21129588
