"Name","test_acc","test_acc_std","weight_decay","sheaf_decay","num_nodes","num_feats","num_classes","node_degree","het","model","State","Notes","User","Tags","Created","Runtime","Sweep","add_hp","add_lp","adjoint","adjoint_method","adjoint_step_size","chebyshev_layers_K","command","cuda","d","dataset","deg_normalised","device","dim_list","dropout","dual_diag","dual_diff_strength","dual_left_linear","dual_linear","dual_normalised","dual_right_linear","early_stopping","earlystopxT","edge_noise","edge_weights","ellipsoid_radius","ellipsoids","entity","epochs","evectors","feat_noise","folds","graph_size","hidden_channels","input_dim","input_dropout","just_add_noise","layers","learn_first_maps","left_weights","linear","lr","max_iters","max_nfe","max_t","max_test_steps","method","min_acc","new_synth_data","new_synth_edges","no_early","node_edge_sims_time_dependent","normalised","num_of_convolutions","orth","output_dim","parameters.cuda","parameters.dataset","parameters.early_stopping","parameters.edge_noise","parameters.ellipsoids","parameters.epochs","parameters.feat_noise","parameters.feat_noises","parameters.het_coef","parameters.het_coefs","parameters.lr","parameters.models","parameters.node_degree","parameters.num_classes","parameters.num_classess","parameters.num_feats","parameters.num_nodes","parameters.num_nodess","parameters.seed","parameters.sheaf_decay","parameters.weight_decay","program","project","right_weights","rotation_invariant_sheaf_learner","second_linear","seed","sha","sheaf_act","sheaf_init","sparse_learner","step_size","stop_strategy","tol_scale","tol_scale_adjoint","use_act","use_embedding","use_epsilons","zero_laplacian","best_epoch","best_test_acc","best_val_acc","fold0_tmp_test_acc","fold0_tmp_test_loss","fold0_train_acc","fold0_train_loss","fold0_val_acc","fold0_val_loss","val_acc"
"twilight-sweep-17","96.75","3.172144385112379","0.0005","0.0005","400","15","2","4","0","BundleSheafChebyshev","finished","-","","","2025-09-30T21:14:53.000Z","122","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","333","0.95","0.925","0.975","0.07134052366018295","1","0.0004414014401845634","1","0.026533961296081543","97.25"
"firm-sweep-1","95.5","3.6742346141747664","0.0005","0.0005","400","15","2","4","0","DiagSheafChebyshev","finished","-","","","2025-09-30T20:39:43.000Z","98","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","1499","0.975","1","0.975","0.16841872036457062","1","0.0002928855537902564","0.975","0.051685214042663574","95.5"
"summer-sweep-33","95","4.743416490252569","0.0005","0.0005","400","15","2","4","0","GeneralSheafChebyshev","finished","-","","","2025-09-30T21:44:43.000Z","92","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","33","0.9","0.975","0.9","0.5296233296394348","1","0.0003849371860269457","0.825","0.6049824953079224","97.25"
"dainty-sweep-65","96.75","3.172144385112379","0.0005","0.0005","400","15","2","4","0.25","BundleSheafChebyshev","finished","-","","","2025-09-30T22:33:31.000Z","92","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","333","0.95","0.925","0.975","0.07134051620960236","1","0.0004414014401845634","1","0.026533905416727063","97.25"
"rural-sweep-49","95.5","3.6742346141747664","0.0005","0.0005","400","15","2","4","0.25","DiagSheafChebyshev","finished","-","","","2025-09-30T22:08:51.000Z","95","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","1499","0.975","1","0.975","0.16841931641101837","1","0.0002928836038336158","0.975","0.05168567970395088","95.5"
"worthy-sweep-81","95","4.743416490252569","0.0005","0.0005","400","15","2","4","0.25","GeneralSheafChebyshev","finished","-","","","2025-09-30T22:58:36.000Z","80","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","33","0.9","0.975","0.9","0.5243733525276184","1","0.0003839257406070829","0.875","0.5630384087562561","97.25"
"giddy-sweep-113","96.75","3.172144385112379","0.0005","0.0005","400","15","2","4","0.5","BundleSheafChebyshev","finished","-","","","2025-09-30T23:46:49.000Z","93","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","333","0.95","0.925","0.975","0.07134044170379639","1","0.0004414014401845634","1","0.026533961296081543","97.25"
"astral-sweep-97","95.5","3.6742346141747664","0.0005","0.0005","400","15","2","4","0.5","DiagSheafChebyshev","finished","-","","","2025-09-30T23:21:59.000Z","92","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","1499","0.975","1","0.975","0.16841855645179749","1","0.0002928855537902564","0.975","0.05168558284640312","95.5"
"dauntless-sweep-129","95","4.743416490252569","0.0005","0.0005","400","15","2","4","0.5","GeneralSheafChebyshev","finished","-","","","2025-10-01T00:12:15.000Z","72","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","33","0.9","0.975","0.925","0.4018343985080719","1","0.0005291662528179586","0.775","0.7325766086578369","97.25"
"jolly-sweep-161","96.75","3.172144385112379","0.0005","0.0005","400","15","2","4","0.75","BundleSheafChebyshev","finished","-","","","2025-10-01T01:00:05.000Z","93","qxo5ph0f","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","1","householder","2","","","","","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","true","false","1","loss","1","1","true","true","true","false","333","0.95","0.925","0.975","0.07134036719799042","1","0.0004414004506543278","1","0.02653391659259796","97.25"
