hetDiff,num_feats,feat_noise,edge-noise,num_nodes,degree,num_edges,num_classes,het,model,,test_acc,std,Val acc
hetDiff20,4,0,0,400,4,800,2,0,MLP,Test acc: 54.8750 +/- 6.4336 | Val acc: 55.7500,54.8750, 6.4336,55.7500
hetDiff20,4,0,0,400,4,800,2,0,VanillaSheaf,Test acc: 58.8750 +/- 7.4046 | Val acc: 60.8750,58.8750, 7.4046,60.8750
hetDiff20,4,0,0,400,4,800,2,0,DiagSheaf,Test acc: 56.0000 +/- 7.3485 | Val acc: 59.5000,56.0000, 7.3485,59.5000
hetDiff20,4,0,0,400,4,800,2,0,JointSheaf NoInit,Test acc: 70.3750 +/- 13.9872 | Val acc: 69.7500,70.3750, 13.987,69.7500
hetDiff20,4,0,0,400,4,800,2,0,JointSheaf Init,Test acc: 77.8750 +/- 13.0270 | Val acc: 79.0000,77.8750, 13.027,79.0000
hetDiff20,4,0,0,400,4,800,2,0,JointSheaf Params,Test acc: 72.8750 +/- 4.5432 | Val acc: 76.1250,72.8750, 4.5432,76.1250
"hetDiff20,25",4,0,0,400,4,800,2,"0,25",MLP,Test acc: 52.8750 +/- 3.6679 | Val acc: 54.2500,52.8750, 3.6679,54.2500
"hetDiff20,25",4,0,0,400,4,800,2,"0,25",VanillaSheaf,Test acc: 51.2500 +/- 4.4017 | Val acc: 55.1250,51.2500, 4.4017,55.1250
"hetDiff20,25",4,0,0,400,4,800,2,"0,25",DiagSheaf,Test acc: 50.7500 +/- 4.7500 | Val acc: 53.7500,50.7500, 4.7500,53.7500
"hetDiff20,25",4,0,0,400,4,800,2,"0,25",JointSheaf NoInit,Test acc: 60.3750 +/- 6.9383 | Val acc: 61.2500,60.3750, 6.9383,61.2500
"hetDiff20,25",4,0,0,400,4,800,2,"0,25",JointSheaf Init,Test acc: 58.0000 +/- 9.2736 | Val acc: 61.3750,58.0000, 9.2736,61.3750
"hetDiff20,25",4,0,0,400,4,800,2,"0,25",JointSheaf Params,Test acc: 64.0000 +/- 7.8022 | Val acc: 63.3750,64.0000, 7.8022,63.3750
"hetDiff20,5",4,0,0,400,4,800,2,"0,5",MLP,Test acc: 52.8750 +/- 3.6679 | Val acc: 54.2500,52.8750, 3.6679,54.2500
"hetDiff20,5",4,0,0,400,4,800,2,"0,5",VanillaSheaf,Test acc: 50.2500 +/- 5.0249 | Val acc: 55.2500,50.2500, 5.0249,55.2500
"hetDiff20,5",4,0,0,400,4,800,2,"0,5",DiagSheaf,Test acc: 50.8750 +/- 3.9941 | Val acc: 54.0000,50.8750, 3.9941,54.0000
"hetDiff20,5",4,0,0,400,4,800,2,"0,5",JointSheaf NoInit,Test acc: 53.1250 +/- 4.7844 | Val acc: 56.8750,53.1250, 4.7844,56.8750
"hetDiff20,5",4,0,0,400,4,800,2,"0,5",JointSheaf Init,Test acc: 53.3750 +/- 4.9702 | Val acc: 56.8750,53.3750, 4.9702,56.8750
"hetDiff20,5",4,0,0,400,4,800,2,"0,5",JointSheaf Params,Test acc: 56.8750 +/- 5.9752 | Val acc: 61.6250,56.8750, 5.9752,61.6250
"hetDiff20,75",4,0,0,400,4,800,2,"0,75",MLP,Test acc: 52.8750 +/- 3.6679 | Val acc: 54.2500,52.8750, 3.6679,54.2500
"hetDiff20,75",4,0,0,400,4,800,2,"0,75",VanillaSheaf,Test acc: 48.0000 +/- 4.3732 | Val acc: 55.2500,48.0000, 4.3732,55.2500
"hetDiff20,75",4,0,0,400,4,800,2,"0,75",DiagSheaf,Test acc: 53.2500 +/- 4.6837 | Val acc: 54.7500,53.2500, 4.6837,54.7500
"hetDiff20,75",4,0,0,400,4,800,2,"0,75",JointSheaf NoInit,Test acc: 49.2500 +/- 5.3677 | Val acc: 56.8750,49.2500, 5.3677,56.8750
"hetDiff20,75",4,0,0,400,4,800,2,"0,75",JointSheaf Init,Test acc: 61.6250 +/- 7.1381 | Val acc: 68.3750,61.6250, 7.1381,68.3750
"hetDiff20,75",4,0,0,400,4,800,2,"0,75",JointSheaf Params,Test acc: 62.3750 +/- 3.2331 | Val acc: 67.0000,62.3750, 3.2331,67.0000
hetDiff21,4,0,0,400,4,800,2,1,MLP,Test acc: 52.8750 +/- 3.6679 | Val acc: 54.2500,52.8750, 3.6679,54.2500
hetDiff21,4,0,0,400,4,800,2,1,VanillaSheaf,Test acc: 48.5000 +/- 4.6368 | Val acc: 55.6250,48.5000, 4.6368,55.6250
hetDiff21,4,0,0,400,4,800,2,1,DiagSheaf,Test acc: 52.5000 +/- 7.2672 | Val acc: 55.2500,52.5000, 7.2672,55.2500
hetDiff21,4,0,0,400,4,800,2,1,JointSheaf NoInit,Test acc: 54.3750 +/- 6.5012 | Val acc: 59.0000,54.3750, 6.5012,59.0000
hetDiff21,4,0,0,400,4,800,2,1,JointSheaf Init,Test acc: 78.3750 +/- 4.3679 | Val acc: 80.3750,78.3750, 4.3679,80.3750
hetDiff21,4,0,0,400,4,800,2,1,JointSheaf Params,Test acc: 73.1250 +/- 5.4844 | Val acc: 77.3750,73.1250, 5.4844,77.3750
hetDiff30,4,0,0,600,4,1200,3,0,MLP,Test acc: 46.3333 +/- 2.6667 | Val acc: 43.8333,46.3333, 2.6667,43.8333
hetDiff30,4,0,0,600,4,1200,3,0,VanillaSheaf,Test acc: 60.2500 +/- 3.0058 | Val acc: 56.9167,60.2500, 3.0058,56.9167
hetDiff30,4,0,0,600,4,1200,3,0,DiagSheaf,Test acc: 65.1667 +/- 4.3748 | Val acc: 60.0000,65.1667, 4.3748,60.0000
hetDiff30,4,0,0,600,4,1200,3,0,JointSheaf NoInit,Test acc: 64.3333 +/- 3.2872 | Val acc: 64.5833,64.3333, 3.2872,64.5833
hetDiff30,4,0,0,600,4,1200,3,0,JointSheaf Init,Test acc: 66.1667 +/- 7.6394 | Val acc: 65.8333,66.1667, 7.6394,65.8333
hetDiff30,4,0,0,600,4,1200,3,0,JointSheaf Params,Test acc: 63.3333 +/- 3.3747 | Val acc: 69.0833,63.3333, 3.3747,69.0833
"hetDiff30,25",4,0,0,600,4,1200,3,"0,25",MLP,Test acc: 46.5833 +/- 2.9686 | Val acc: 43.0833,46.5833, 2.9686,43.0833
"hetDiff30,25",4,0,0,600,4,1200,3,"0,25",VanillaSheaf,Test acc: 52.7500 +/- 6.4984 | Val acc: 49.2500,52.7500, 6.4984,49.2500
"hetDiff30,25",4,0,0,600,4,1200,3,"0,25",DiagSheaf,Test acc: 51.1667 +/- 4.4597 | Val acc: 50.2500,51.1667, 4.4597,50.2500
"hetDiff30,25",4,0,0,600,4,1200,3,"0,25",JointSheaf NoInit,Test acc: 59.2500 +/- 7.2787 | Val acc: 58.0833,59.2500, 7.2787,58.0833
"hetDiff30,25",4,0,0,600,4,1200,3,"0,25",JointSheaf Init,Test acc: 56.3333 +/- 7.8014 | Val acc: 54.3333,56.3333, 7.8014,54.3333
"hetDiff30,25",4,0,0,600,4,1200,3,"0,25",JointSheaf Params,Test acc: 57.9167 +/- 6.8945 | Val acc: 59.8333,57.9167, 6.8945,59.8333
"hetDiff30,5",4,0,0,600,4,1200,3,"0,5",MLP,Test acc: 46.5833 +/- 2.9686 | Val acc: 43.0833,46.5833, 2.9686,43.0833
"hetDiff30,5",4,0,0,600,4,1200,3,"0,5",VanillaSheaf,Test acc: 45.9167 +/- 4.0560 | Val acc: 44.5833,45.9167, 4.0560,44.5833
"hetDiff30,5",4,0,0,600,4,1200,3,"0,5",DiagSheaf,Test acc: 44.5000 +/- 5.5927 | Val acc: 44.4167,44.5000, 5.5927,44.4167
"hetDiff30,5",4,0,0,600,4,1200,3,"0,5",JointSheaf NoInit,Test acc: 51.0000 +/- 5.1881 | Val acc: 51.0000,51.0000, 5.1881,51.0000
"hetDiff30,5",4,0,0,600,4,1200,3,"0,5",JointSheaf Init,Test acc: 57.0833 +/- 6.9747 | Val acc: 60.8333,57.0833, 6.9747,60.8333
"hetDiff30,5",4,0,0,600,4,1200,3,"0,5",JointSheaf Params,Test acc: 55.7500 +/- 5.7427 | Val acc: 61.9167,55.7500, 5.7427,61.9167
