hetRisNN,num_feats,feat_noise,edge-noise,num_nodes,degree,num_edges,num_classes,het,model,,test_acc,std,Val acc
hetRisNN20,15,0,0,400,4,800,2,0,MLP,Test acc: 49.2500 +/- 4.7500 | Val acc: 52.6250,49.2500, 4.7500,52.6250
hetRisNN20,15,0,0,400,4,800,2,0,VanillaSheaf,Test acc: 70.0000 +/- 6.8007 | Val acc: 68.6250,70.0000, 6.8007,68.6250
hetRisNN20,15,0,0,400,4,800,2,0,DiagSheaf,Test acc: 99.0000 +/- 1.2247 | Val acc: 98.8750,99.0000, 1.2247,98.8750
hetRisNN20,15,0,0,400,4,800,2,0,RotInvSheaf NoTime,Test acc: 98.7500 +/- 2.2361 | Val acc: 99.7500,98.7500, 2.2361,99.7500
hetRisNN20,15,0,0,400,4,800,2,0,RotInvSheaf Time,Test acc: 99.5000 +/- 0.8292 | Val acc: 100.0000,99.5000, 0.8292,100.0000
"hetRisNN20,25",15,0,0,400,4,800,2,"0,25",MLP,Test acc: 48.7500 +/- 5.0929 | Val acc: 53.3750,48.7500, 5.0929,53.3750
"hetRisNN20,25",15,0,0,400,4,800,2,"0,25",VanillaSheaf,Test acc: 55.0000 +/- 7.3101 | Val acc: 61.6250,55.0000, 7.3101,61.6250
"hetRisNN20,25",15,0,0,400,4,800,2,"0,25",DiagSheaf,Test acc: 80.6250 +/- 4.6854 | Val acc: 80.6250,80.6250, 4.6854,80.6250
"hetRisNN20,25",15,0,0,400,4,800,2,"0,25",RotInvSheaf NoTime,Test acc: 78.0000 +/- 5.5396 | Val acc: 79.0000,78.0000, 5.5396,79.0000
"hetRisNN20,25",15,0,0,400,4,800,2,"0,25",RotInvSheaf Time,Test acc: 83.1250 +/- 4.8814 | Val acc: 83.0000,83.1250, 4.8814,83.0000
"hetRisNN20,5",15,0,0,400,4,800,2,"0,5",MLP,Test acc: 48.7500 +/- 5.0929 | Val acc: 53.3750,48.7500, 5.0929,53.3750
"hetRisNN20,5",15,0,0,400,4,800,2,"0,5",VanillaSheaf,Test acc: 46.1250 +/- 3.9706 | Val acc: 53.6250,46.1250, 3.9706,53.6250
"hetRisNN20,5",15,0,0,400,4,800,2,"0,5",DiagSheaf,Test acc: 65.1250 +/- 4.8557 | Val acc: 65.8750,65.1250, 4.8557,65.8750
"hetRisNN20,5",15,0,0,400,4,800,2,"0,5",RotInvSheaf NoTime,Test acc: 60.5000 +/- 3.1225 | Val acc: 62.7500,60.5000, 3.1225,62.7500
"hetRisNN20,5",15,0,0,400,4,800,2,"0,5",RotInvSheaf Time,Test acc: 62.2500 +/- 6.2700 | Val acc: 64.1250,62.2500, 6.2700,64.1250
"hetRisNN20,75",15,0,0,400,4,800,2,"0,75",MLP,Test acc: 48.7500 +/- 5.0929 | Val acc: 53.3750,48.7500, 5.0929,53.3750
"hetRisNN20,75",15,0,0,400,4,800,2,"0,75",VanillaSheaf,Test acc: 47.5000 +/- 5.0312 | Val acc: 53.1250,47.5000, 5.0312,53.1250
