"Name","test_acc","test_acc_std","feat_noise","model","State","Notes","User","Tags","Created","Runtime","Sweep","add_hp","add_lp","adjoint","adjoint_method","adjoint_step_size","chebyshev_layers_K","command","cuda","d","dataset","deg_normalised","device","dim_list","dropout","dual_diag","dual_diff_strength","dual_left_linear","dual_linear","dual_normalised","dual_right_linear","early_stopping","earlystopxT","edge_noise","edge_weights","ellipsoid_radius","ellipsoids","entity","epochs","evectors","folds","graph_size","het_coef","hidden_channels","input_dim","input_dropout","just_add_noise","layers","learn_first_maps","left_weights","linear","lr","max_iters","max_nfe","max_t","max_test_steps","method","min_acc","new_synth_data","new_synth_edges","no_early","node_degree","node_edge_sims_time_dependent","normalised","num_classes","num_feats","num_nodes","num_of_convolutions","orth","output_dim","parameters.cuda","parameters.dataset","parameters.early_stopping","parameters.edge_noise","parameters.ellipsoids","parameters.epochs","parameters.feat_noises","parameters.het_coef","parameters.lr","parameters.models","parameters.node_degree","parameters.num_classes","parameters.num_feats","parameters.num_nodes","parameters.seed","parameters.sheaf_decay","parameters.weight_decay","program","project","right_weights","rotation_invariant_sheaf_learner","second_linear","seed","sha","sheaf_act","sheaf_decay","sheaf_init","sparse_learner","step_size","stop_strategy","tol_scale","tol_scale_adjoint","use_act","use_embedding","use_epsilons","weight_decay","zero_laplacian","best_epoch","best_test_acc","best_val_acc","fold0_tmp_test_acc","fold0_tmp_test_loss","fold0_train_acc","fold0_train_loss","fold0_val_acc","fold0_val_loss","val_acc"
"absurd-sweep-2","96.75","3.172144385112379","0","BundleSheafChebyshev","finished","-","","","2025-09-30T20:42:04.000Z","107","qdmivde0","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","2","false","true","2","3","400","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134047150611877","1","0.0004414004506543278","1","0.026533935219049457","97.25"
"worldly-sweep-1","95.5","3.6742346141747664","0","DiagSheafChebyshev","finished","-","","","2025-09-30T20:40:16.000Z","106","qdmivde0","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","2","false","true","2","3","400","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.1684185266494751","1","0.00029288456426002085","0.975","0.05168568342924118","95.5"
"mild-sweep-3","95","4.743416490252569","0","GeneralSheafChebyshev","finished","-","","","2025-09-30T20:43:53.000Z","122","qdmivde0","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","2","false","true","2","3","400","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.9","0.4536520838737488","1","0.0004227812751196325","0.875","0.47198542952537537","97.25"
"atomic-sweep-5","96.75","3.172144385112379","0.2","BundleSheafChebyshev","finished","-","","","2025-09-30T16:07:50.000Z","101","kss4ihgl","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","2","false","true","2","3","400","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134044170379639","1","0.0004414014401845634","1","0.02653397247195244","97.25"
"expert-sweep-4","95.5","3.6742346141747664","0.2","DiagSheafChebyshev","finished","-","","","2025-09-30T20:45:57.000Z","129","qdmivde0","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","2","false","true","2","3","400","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.16841886937618256","1","0.00029288456426002085","0.975","0.051685530692338943","95.5"
"fresh-sweep-6","95","4.743416490252569","0.2","GeneralSheafChebyshev","finished","-","","","2025-09-30T20:50:15.000Z","147","qdmivde0","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","2","false","true","2","3","400","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.9","0.5284467935562134","1","0.0003777945530600846","0.85","0.4965716004371643","97.25"
"hardy-sweep-8","96.75","3.172144385112379","0.4","BundleSheafChebyshev","finished","-","","","2025-09-30T20:55:00.000Z","118","qdmivde0","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","2","false","true","2","3","400","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134054601192474","1","0.0004414004506543278","1","0.026533890515565872","97.25"
"earthy-sweep-7","95.5","3.6742346141747664","0.4","DiagSheafChebyshev","finished","-","","","2025-09-30T20:52:45.000Z","132","qdmivde0","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","2","false","true","2","3","400","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.16841870546340942","1","0.00029288456426002085","0.975","0.05168585106730461","95.5"
"sweepy-sweep-9","95","4.743416490252569","0.4","GeneralSheafChebyshev","finished","-","","","2025-09-30T16:14:50.000Z","99","kss4ihgl","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","2","false","true","2","3","400","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.9","0.7253094911575317","1","0.0007459538173861802","0.875","0.7117413878440857","97.25"
"tough-sweep-11","96.75","3.172144385112379","0.6","BundleSheafChebyshev","finished","-","","","2025-09-30T21:01:53.000Z","114","qdmivde0","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","2","false","true","2","3","400","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134045660495758","1","0.0004414014401845634","1","0.02653397247195244","97.25"
