"Name","test_acc","test_acc_std","num_nodes","model","feat_noise","node_degree","State","Notes","User","Tags","Created","Runtime","Sweep","add_hp","add_lp","adjoint","adjoint_method","adjoint_step_size","chebyshev_layers_K","command","cuda","d","dataset","deg_normalised","device","dim_list","dropout","dual_diag","dual_diff_strength","dual_left_linear","dual_linear","dual_normalised","dual_right_linear","early_stopping","earlystopxT","edge_noise","edge_weights","ellipsoid_radius","ellipsoids","entity","epochs","evectors","folds","graph_size","het_coef","hidden_channels","input_dim","input_dropout","just_add_noise","layers","learn_first_maps","left_weights","linear","lr","max_iters","max_nfe","max_t","max_test_steps","method","min_acc","new_synth_data","new_synth_edges","no_early","node_edge_sims_time_dependent","normalised","num_classes","num_feats","num_of_convolutions","orth","output_dim","parameters.cuda","parameters.dataset","parameters.early_stopping","parameters.edge_noise","parameters.ellipsoids","parameters.epochs","parameters.feat_noises","parameters.het_coef","parameters.lr","parameters.models","parameters.node_degree","parameters.num_classes","parameters.num_feats","parameters.num_nodes","parameters.seed","parameters.sheaf_decay","parameters.weight_decay","program","project","right_weights","rotation_invariant_sheaf_learner","second_linear","seed","sha","sheaf_act","sheaf_decay","sheaf_init","sparse_learner","step_size","stop_strategy","tol_scale","tol_scale_adjoint","use_act","use_embedding","use_epsilons","weight_decay","zero_laplacian","best_epoch","best_test_acc","best_val_acc","fold0_tmp_test_acc","fold0_tmp_test_loss","fold0_train_acc","fold0_train_loss","fold0_val_acc","fold0_val_loss","val_acc"
"peach-sweep-2","96.75","3.172144385112379","500","BundleSheafChebyshev","0","5","finished","-","","","2025-09-30T20:44:34.000Z","109","aol6qmfa","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","2","15","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134036719799042","1","0.0004414004506543278","1","0.02653387188911438","97.25"
"rare-sweep-1","95.5","3.6742346141747664","500","DiagSheafChebyshev","0","5","finished","-","","","2025-09-30T15:51:24.000Z","64","bo946v48","false","false","false","adaptive_heun","1","3","","0","2","synthetic_exp","false","cuda:0","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","2","15","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.1684190332889557","1","0.0002928855537902564","0.975","0.05168551206588745","95.5"
"glorious-sweep-3","95.75","4.190763653560052","500","GeneralSheafChebyshev","0","5","finished","-","","","2025-09-30T20:46:28.000Z","149","aol6qmfa","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","2","15","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.925","1","0.925","0.6604286432266235","1","0.0004838626191485673","0.85","0.7498943209648132","98"
"scarlet-sweep-5","96.75","3.172144385112379","500","BundleSheafChebyshev","0.05","5","finished","-","","","2025-09-30T20:51:13.000Z","119","aol6qmfa","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","2","15","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134052366018295","1","0.0004414004506543278","1","0.02653392218053341","97.25"
"classic-sweep-4","95.5","3.6742346141747664","500","DiagSheafChebyshev","0.05","5","finished","-","","","2025-09-30T15:55:44.000Z","108","bo946v48","false","false","false","adaptive_heun","1","3","","0","2","synthetic_exp","false","cuda:0","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","2","15","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.16841918230056763","1","0.0002928855537902564","0.975","0.05168517306447029","95.5"
"young-sweep-6","95","4.743416490252569","500","GeneralSheafChebyshev","0.05","5","finished","-","","","2025-09-30T20:53:17.000Z","145","aol6qmfa","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","2","15","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.9","0.5976548194885254","1","0.0003770200710278005","0.85","0.5718908905982971","97.25"
"ruby-sweep-8","96.75","3.172144385112379","500","BundleSheafChebyshev","0.1","5","finished","-","","","2025-09-30T16:04:11.000Z","131","bo946v48","false","false","false","adaptive_heun","1","3","","0","2","synthetic_exp","false","cuda:0","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","2","15","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134042680263519","1","0.0004414004506543278","1","0.02653389796614647","97.25"
"sandy-sweep-7","95.5","3.6742346141747664","500","DiagSheafChebyshev","0.1","5","finished","-","","","2025-09-30T16:01:51.000Z","136","bo946v48","false","false","false","adaptive_heun","1","3","","0","2","synthetic_exp","false","cuda:0","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","2","15","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.16841885447502136","1","0.0002928855537902564","0.975","0.05168544128537178","95.5"
"sweepy-sweep-9","95","4.743416490252569","500","GeneralSheafChebyshev","0.1","5","finished","-","","","2025-09-30T16:06:26.000Z","131","bo946v48","false","false","false","adaptive_heun","1","3","","0","2","synthetic_exp","false","cuda:0","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","2","15","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.9","0.529258131980896","1","0.0003777113161049783","0.85","0.49619919061660767","97.25"
"pious-sweep-11","96.75","3.172144385112379","500","BundleSheafChebyshev","0.15","5","finished","-","","","2025-09-30T21:04:29.000Z","115","aol6qmfa","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","10","200","1","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","2","15","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134053856134415","1","0.0004414004506543278","1","0.026533925905823708","97.25"
