data,num_feats,feat_noise,edge-noise,num_nodes,degree,num_edges,num_classes,het,model,results,test_acc,std,Val acc
raw00_Diff,3,0,0,400,2,400,2,1,MLP,Test acc: 61.0000 +/- 6.5144 | Val acc: 63.8750,61.0000, 6.5144,63.8750
raw00_Diff,3,0,0,400,2,400,2,1,VanillaSheaf,Test acc: 46.2500 +/- 5.8095 | Val acc: 51.1250,46.2500, 5.8095,51.1250
raw00_Diff,3,0,0,400,2,400,2,1,DiagSheaf,Test acc: 90.5000 +/- 2.5739 | Val acc: 92.7500,90.5000, 2.5739,92.7500
raw00_Diff,3,0,0,400,2,400,2,1,JointSheaf NoInit,Test acc: 62.0000 +/- 10.9001 | Val acc: 62.2500,62.0000, 10.900,62.2500
raw00_Diff,3,0,0,400,2,400,2,1,JointSheaf Init,Test acc: 93.6250 +/- 5.5748 | Val acc: 95.0000,93.6250, 5.5748,95.0000
raw00_Diff,3,0,0,400,2,400,2,1,JointSheaf Params,Test acc: 93.7500 +/- 3.1623 | Val acc: 93.7500,93.7500, 3.1623,93.7500
raw01_Diff,3,0,0.2,400,2,400,2,1,MLP,Test acc: 61.0000 +/- 6.5144 | Val acc: 63.8750,61.0000, 6.5144,63.8750
raw01_Diff,3,0,0.2,400,2,400,2,1,VanillaSheaf,Test acc: 45.8750 +/- 3.3564 | Val acc: 52.3750,45.8750, 3.3564,52.3750
raw01_Diff,3,0,0.2,400,2,400,2,1,DiagSheaf,Test acc: 86.8750 +/- 3.7604 | Val acc: 87.7500,86.8750, 3.7604,87.7500
raw01_Diff,3,0,0.2,400,2,400,2,1,JointSheaf NoInit,Test acc: 59.7500 +/- 10.8224 | Val acc: 61.2500,59.7500, 10.822,61.2500
raw01_Diff,3,0,0.2,400,2,400,2,1,JointSheaf Init,Test acc: 90.6250 +/- 5.2515 | Val acc: 91.7500,90.6250, 5.2515,91.7500
raw01_Diff,3,0,0.2,400,2,400,2,1,JointSheaf Params,Test acc: 89.0000 +/- 3.5267 | Val acc: 94.5000,89.0000, 3.5267,94.5000
raw02_Diff,3,0,0.4,400,2,400,2,1,MLP,Test acc: 61.0000 +/- 6.5144 | Val acc: 63.8750,61.0000, 6.5144,63.8750
raw02_Diff,3,0,0.4,400,2,400,2,1,VanillaSheaf,Test acc: 46.3750 +/- 4.3463 | Val acc: 54.7500,46.3750, 4.3463,54.7500
raw02_Diff,3,0,0.4,400,2,400,2,1,DiagSheaf,Test acc: 78.7500 +/- 4.7434 | Val acc: 80.0000,78.7500, 4.7434,80.0000
raw02_Diff,3,0,0.4,400,2,400,2,1,JointSheaf NoInit,Test acc: 56.8750 +/- 8.6286 | Val acc: 59.5000,56.8750, 8.6286,59.5000
