,num_feats,feat_noise,edge-noise,num_nodes,degree,num_edges,num_classes,het,model,results,test_acc,std,Val acc
raw00_RiSNN,15,0,0,500,5,1250,2,1,MLP,Test acc: 49.3000 +/- 6.7387 | Val acc: 51.7000,49.3000, 6.7387,51.7000
raw00_RiSNN,15,0,0,500,5,1250,2,1,VanillaSheaf,Test acc: 53.7000 +/- 4.9810 | Val acc: 56.3000,53.7000, 4.9810,56.3000
raw00_RiSNN,15,0,0,500,5,1250,2,1,DiagSheaf,Test acc: 98.9000 +/- 1.3748 | Val acc: 99.2000,98.9000, 1.3748,99.2000
raw00_RiSNN,15,0,0,500,5,1250,2,1,RotInvSheaf NoTime,Test acc: 99.7000 +/- 0.4583 | Val acc: 99.3000,99.7000, 0.4583,99.3000
raw00_RiSNN,15,0,0,500,5,1250,2,1,RotInvSheaf Time,Test acc: 97.6000 +/- 3.5270 | Val acc: 97.4000,97.6000, 3.5270,97.4000
raw01_RiSNN,15,0,0.2,500,5,1250,2,1,MLP,Test acc: 49.3000 +/- 6.7387 | Val acc: 51.7000,49.3000, 6.7387,51.7000
raw01_RiSNN,15,0,0.2,500,5,1250,2,1,VanillaSheaf,Test acc: 49.7000 +/- 5.4964 | Val acc: 53.8000,49.7000, 5.4964,53.8000
raw01_RiSNN,15,0,0.2,500,5,1250,2,1,DiagSheaf,Test acc: 91.1000 +/- 6.5338 | Val acc: 93.4000,91.1000, 6.5338,93.4000
raw01_RiSNN,15,0,0.2,500,5,1250,2,1,RotInvSheaf NoTime,Test acc: 94.2000 +/- 3.0594 | Val acc: 96.5000,94.2000, 3.0594,96.5000
raw01_RiSNN,15,0,0.2,500,5,1250,2,1,RotInvSheaf Time,Test acc: 88.2000 +/- 14.4416 | Val acc: 90.2000,88.2000, 14.441,90.2000
raw02_RiSNN,15,0,0.4,500,5,1250,2,1,MLP,Test acc: 49.3000 +/- 6.7387 | Val acc: 51.7000,49.3000, 6.7387,51.7000
raw02_RiSNN,15,0,0.4,500,5,1250,2,1,VanillaSheaf,Test acc: 50.0000 +/- 4.0743 | Val acc: 53.5000,50.0000, 4.0743,53.5000
raw02_RiSNN,15,0,0.4,500,5,1250,2,1,DiagSheaf,Test acc: 91.2000 +/- 3.1875 | Val acc: 92.5000,91.2000, 3.1875,92.5000
raw02_RiSNN,15,0,0.4,500,5,1250,2,1,RotInvSheaf NoTime,Test acc: 89.6000 +/- 7.8638 | Val acc: 91.5000,89.6000, 7.8638,91.5000
raw02_RiSNN,15,0,0.4,500,5,1250,2,1,RotInvSheaf Time,Test acc: 91.1000 +/- 6.2362 | Val acc: 91.8000,91.1000, 6.2362,91.8000
raw03_RiSNN,15,0,0.6,500,5,1250,2,1,MLP,Test acc: 49.3000 +/- 6.7387 | Val acc: 51.7000,49.3000, 6.7387,51.7000
raw03_RiSNN,15,0,0.6,500,5,1250,2,1,VanillaSheaf,Test acc: 50.1000 +/- 4.0112 | Val acc: 53.6000,50.1000, 4.0112,53.6000
raw03_RiSNN,15,0,0.6,500,5,1250,2,1,DiagSheaf,Test acc: 84.6000 +/- 5.8344 | Val acc: 85.7000,84.6000, 5.8344,85.7000
raw03_RiSNN,15,0,0.6,500,5,1250,2,1,RotInvSheaf NoTime,Test acc: 82.4000 +/- 8.8792 | Val acc: 83.5000,82.4000, 8.8792,83.5000
raw03_RiSNN,15,0,0.6,500,5,1250,2,1,RotInvSheaf Time,Test acc: 87.4000 +/- 6.2482 | Val acc: 87.8000,87.4000, 6.2482,87.8000
raw04_RiSNN,15,0,0.8,500,5,1250,2,1,MLP,Test acc: 49.3000 +/- 6.7387 | Val acc: 51.7000,49.3000, 6.7387,51.7000
raw04_RiSNN,15,0,0.8,500,5,1250,2,1,VanillaSheaf,Test acc: 49.5000 +/- 5.0249 | Val acc: 53.6000,49.5000, 5.0249,53.6000
raw04_RiSNN,15,0,0.8,500,5,1250,2,1,DiagSheaf,Test acc: 83.3000 +/- 5.1971 | Val acc: 84.8000,83.3000, 5.1971,84.8000
raw04_RiSNN,15,0,0.8,500,5,1250,2,1,RotInvSheaf NoTime,Test acc: 79.7000 +/- 7.1840 | Val acc: 80.6000,79.7000, 7.1840,80.6000
raw04_RiSNN,15,0,0.8,500,5,1250,2,1,RotInvSheaf Time,Test acc: 83.0000 +/- 6.1968 | Val acc: 83.9000,83.0000, 6.1968,83.9000
raw05_RiSNN,15,0,1,500,5,1250,2,1,MLP,Test acc: 49.3000 +/- 6.7387 | Val acc: 51.7000,49.3000, 6.7387,51.7000
raw05_RiSNN,15,0,1,500,5,1250,2,1,VanillaSheaf,Test acc: 51.6000 +/- 5.3889 | Val acc: 55.7000,51.6000, 5.3889,55.7000
